Rank,Athlete,Country,Result,Finished,Year
1,Kjeld NUIS,NED,01:43.21,1,2022
2,Thomas KROL,NED,01:43.55,1,2022
3,Min Seok KIM,KOR,01:44.24,1,2022
4,Peder KONGSHAUG,NOR,01:44.39,1,2022
5,Connor HOWE,CAN,01:44.86,1,2022
6,Joey MANTIA,USA,01:45.26,1,2022
7,Zhongyan NING,CHN,01:45.28,1,2022
8,Sergey TROFIMOV,ROC,01:45.32,1,2022
9,Marcel BOSKER,NED,01:45.42,1,2022
10,Seitaro ICHINOHE,JPN,01:45.53,1,2022
11,Emery LEHMAN,USA,01:45.78,1,2022
12,Allan Dahl JOHANSSON,NOR,01:45.81,1,2022
13,Bart SWINGS,BEL,01:45.82,1,2022
14,Daniil ALDOSHKIN,ROC,01:46.33,1,2022
15,Ruslan ZAKHAROV,ROC,01:46.46,1,2022
16,Kristian ULEKLEIV,NOR,01:46.56,1,2022
17,Takuro ODA,JPN,01:46.60,1,2022
18,Dmitriy MOROZOV,KAZ,01:47.01,1,2022
19,Cornelius KERSTEN,GBR,01:47.11,1,2022
20,Haotian WANG,CHN,01:47.13,1,2022
21,Seonghyeon PARK,KOR,01:47.59,1,2022
22,Tyson LANGELAAR,CAN,01:47.81,1,2022
23,Antoine GELINAS-BEAULIEU,CAN,01:48.00,1,2022
24,Haralds SILOVS,LAT,01:48.24,1,2022
25,Alessio TRENTINI,ITA,01:48.33,1,2022
26,Peter MICHAEL,NZL,01:48.68,1,2022
27,Ziwen LIAN,CHN,01:49.15,1,2022
28,Casey DAWSON,USA,01:49.45,1,2022
29,Mathias VOSTE,BEL,01:49.93,1,2022
